Pokemon Name,Pokemon ID,Route,Catch Method,Encounter Chance
Poliwag,60,Fuchsia City,Good Rod,Common
Goldeen,118,Fuchsia City,Good Rod,Common
Magikarp,129,Fuchsia City,Super Rod,Common
Magikarp,129,Fuchsia City,Old Rod,Common
Gyarados,130,Fuchsia City,Super Rod,Uncommon
Zubat,41,Mt Moon#1F,Walking,Common
Geodude,74,Mt Moon#1F,Walking,Common
Sandshrew,27,Mt Moon#1F,Walking,Rare
Clefairy,35,Mt Moon#1F,Walking,Rare
Zubat,41,Mt Moon#B1F,Walking,Common
Geodude,74,Mt Moon#B1F,Walking,Common
Clefairy,35,Mt Moon#B1F,Walking,Uncommon
Paras,46,Mt Moon#B1F,Walking,Uncommon
Zubat,41,Mt Moon#B2F,Walking,Common
Clefairy,35,Mt Moon#B2F,Walking,Uncommon
Paras,46,Mt Moon#B2F,Walking,Uncommon
Geodude,74,Mt Moon#B2F,Walking,Uncommon
Poliwag,60,Pallet Town,Good Rod,Common
Tentacool,72,Pallet Town,Super Rod,Common
Goldeen,118,Pallet Town,Good Rod,Common
Staryu,120,Pallet Town,Super Rod,Common
Magikarp,129,Pallet Town,Old Rod,Common
Pikachu,25,Pallet Town,Starter,NA
Rattata,19,Pokemon Mansion#1F,Walking,Common
Raticate,20,Pokemon Mansion#1F,Walking,Common
Growlithe,58,Pokemon Mansion#1F,Walking,Uncommon
Grimer,88,Pokemon Mansion#1F,Walking,Uncommon
Rattata,19,Pokemon Mansion#2F,Walking,Common
Raticate,20,Pokemon Mansion#2F,Walking,Common
Grimer,88,Pokemon Mansion#2F,Walking,Common
Muk,89,Pokemon Mansion#2F,Walking,Rare
Rattata,19,Pokemon Mansion#3F,Walking,Common
Raticate,20,Pokemon Mansion#3F,Walking,Common
Grimer,88,Pokemon Mansion#3F,Walking,Common
Muk,89,Pokemon Mansion#3F,Walking,Rare
Raticate,20,Pokemon Mansion#B1F,Walking,Common
Grimer,88,Pokemon Mansion#B1F,Walking,Common
Muk,89,Pokemon Mansion#B1F,Walking,Uncommon
Ditto,132,Pokemon Mansion#B1F,Walking,Uncommon
Gastly,92,Pokemon Tower#3F,Walking,Common
Haunter,93,Pokemon Tower#3F,Walking,Rare
Gastly,92,Pokemon Tower#4F,Walking,Common
Haunter,93,Pokemon Tower#4F,Walking,Rare
Gastly,92,Pokemon Tower#5F,Walking,Common
Haunter,93,Pokemon Tower#5F,Walking,Rare
Cubone,104,Pokemon Tower#5F,Walking,Rare
Gastly,92,Pokemon Tower#6F,Walking,Common
Haunter,93,Pokemon Tower#6F,Walking,Rare
Cubone,104,Pokemon Tower#6F,Walking,Rare
Gastly,92,Pokemon Tower#7F,Walking,Common
Haunter,93,Pokemon Tower#7F,Walking,Rare
Cubone,104,Pokemon Tower#7F,Walking,Rare
Magnemite,81,Power Plant,Walking,Common
Magneton,82,Power Plant,Walking,Uncommon
Grimer,88,Power Plant,Walking,Uncommon
Voltorb,100,Power Plant,Walking,Uncommon
Muk,89,Power Plant,Walking,Rare
Zapdos,145,Power Plant,Interact,NA
Zubat,41,Rock Tunnel#1F,Walking,Common
Geodude,74,Rock Tunnel#1F,Walking,Common
Machop,66,Rock Tunnel#1F,Walking,Uncommon
Zubat,41,Rock Tunnel#B1F,Walking,Common
Machop,66,Rock Tunnel#B1F,Walking,Common
Geodude,74,Rock Tunnel#B1F,Walking,Common
Onix,95,Rock Tunnel#B1F,Walking,Uncommon
Pidgey,16,Route 1,Walking,Common
Rattata,19,Route 1,Walking,Common
Poliwag,60,Route 10,Good Rod,Common
Magnemite,81,Route 10,Walking,Common
Krabby,98,Route 10,Super Rod,Common
Goldeen,118,Route 10,Good Rod,Common
Magikarp,129,Route 10,Old Rod,Common
Rattata,19,Route 10,Walking,Uncommon
Nidoran(Female),29,Route 10,Walking,Uncommon
Nidoran(Male),32,Route 10,Walking,Uncommon
Kingler,99,Route 10,Super Rod,Uncommon
Horsea,116,Route 10,Super Rod,Uncommon
Raticate,20,Route 10,Walking,Rare
Machop,66,Route 10,Walking,Rare
Pidgey,16,Route 11,Walking,Common
Rattata,19,Route 11,Walking,Common
Poliwag,60,Route 11,Good Rod,Common
Tentacool,72,Route 11,Super Rod,Common
Goldeen,118,Route 11,Good Rod,Common
Magikarp,129,Route 11,Old Rod,Common
Pidgeotto,17,Route 11,Walking,Uncommon
Drowzee,96,Route 11,Walking,Uncommon
Horsea,116,Route 11,Super Rod,Uncommon
Raticate,20,Route 11,Walking,Rare
Dugtrio,51,Route 11,Trade,NA
Oddish,43,Route 12,Walking,Common
Poliwag,60,Route 12,Good Rod,Common
Bellsprout,69,Route 12,Walking,Common
Slowpoke,79,Route 12,Surfing,Common
Horsea,116,Route 12,Super Rod,Common
Seadra,117,Route 12,Super Rod,Common
Goldeen,118,Route 12,Good Rod,Common
Magikarp,129,Route 12,Old Rod,Common
Pidgey,16,Route 12,Walking,Uncommon
Pidgeotto,17,Route 12,Walking,Uncommon
Gloom,44,Route 12,Walking,Rare
Weepinbell,70,Route 12,Walking,Rare
Slowbro,80,Route 12,Surfing,Rare
Farfetch'd,83,Route 12,Walking,Rare
Snorlax,143,Route 12,Interact,NA
Oddish,43,Route 13,Walking,Common
Poliwag,60,Route 13,Good Rod,Common
Bellsprout,69,Route 13,Walking,Common
Slowpoke,79,Route 13,Surfing,Common
Horsea,116,Route 13,Super Rod,Common
Goldeen,118,Route 13,Good Rod,Common
Magikarp,129,Route 13,Old Rod,Common
Pidgey,16,Route 13,Walking,Uncommon
Pidgeotto,17,Route 13,Walking,Uncommon
Tentacool,72,Route 13,Super Rod,Uncommon
Seadra,117,Route 13,Super Rod,Uncommon
Gloom,44,Route 13,Walking,Rare
Weepinbell,70,Route 13,Walking,Rare
Slowbro,80,Route 13,Surfing,Rare
Farfetch'd,83,Route 13,Walking,Rare
Oddish,43,Route 14,Walking,Common
Bellsprout,69,Route 14,Walking,Common
Pidgeotto,17,Route 14,Walking,Uncommon
Venonat,48,Route 14,Walking,Uncommon
Gloom,44,Route 14,Walking,Rare
Venomoth,49,Route 14,Walking,Rare
Weepinbell,70,Route 14,Walking,Rare
Oddish,43,Route 15,Walking,Common
Bellsprout,69,Route 15,Walking,Common
Pidgeotto,17,Route 15,Walking,Uncommon
Venonat,48,Route 15,Walking,Uncommon
Gloom,44,Route 15,Walking,Rare
Venomoth,49,Route 15,Walking,Rare
Weepinbell,70,Route 15,Walking,Rare
Rattata,19,Route 16,Walking,Common
Spearow,21,Route 16,Walking,Common
Doduo,84,Route 16,Walking,Common
Raticate,20,Route 16,Walking,Rare
Fearow,22,Route 16,Walking,Rare
Snorlax,143,Route 16,Interact,NA
Poliwag,60,Route 17,Good Rod,Common
Tentacool,72,Route 17,Super Rod,Common
Doduo,84,Route 17,Walking,Common
Shellder,90,Route 17,Super Rod,Common
Goldeen,118,Route 17,Good Rod,Common
Magikarp,129,Route 17,Old Rod,Common
Fearow,22,Route 17,Walking,Uncommon
Ponyta,77,Route 17,Walking,Uncommon
Dodrio,85,Route 17,Walking,Rare
Rattata,19,Route 18,Walking,Common
Spearow,21,Route 18,Walking,Common
Poliwag,60,Route 18,Good Rod,Common
Tentacool,72,Route 18,Super Rod,Common
Doduo,84,Route 18,Walking,Common
Shellder,90,Route 18,Super Rod,Common
Goldeen,118,Route 18,Good Rod,Common
Magikarp,129,Route 18,Old Rod,Common
Raticate,20,Route 18,Walking,Rare
Fearow,22,Route 18,Walking,Rare
Parasect,47,Route 18,Trade,NA
Poliwag,60,Route 19,Good Rod,Common
Tentacool,72,Route 19,Surfing,Common
Tentacool,72,Route 19,Super Rod,Common
Goldeen,118,Route 19,Good Rod,Common
Staryu,120,Route 19,Super Rod,Common
Magikarp,129,Route 19,Old Rod,Common
Tentacruel,73,Route 19,Super Rod,Uncommon
Pidgey,16,Route 2,Walking,Common
Rattata,19,Route 2,Walking,Common
Nidoran(Female),29,Route 2,Walking,Uncommon
Nidoran(Male),32,Route 2,Walking,Uncommon
Mr. Mime,122,Route 2,Trade,NA
Poliwag,60,Route 20,Good Rod,Common
Tentacool,72,Route 20,Surfing,Common
Tentacool,72,Route 20,Super Rod,Common
Tentacruel,73,Route 20,Super Rod,Common
Goldeen,118,Route 20,Good Rod,Common
Magikarp,129,Route 20,Old Rod,Common
Staryu,120,Route 20,Super Rod,Uncommon
Pidgey,16,Route 21,Walking,Common
Rattata,19,Route 21,Walking,Common
Poliwag,60,Route 21,Good Rod,Common
Tentacool,72,Route 21,Surfing,Common
Tentacool,72,Route 21,Super Rod,Common
Goldeen,118,Route 21,Good Rod,Common
Staryu,120,Route 21,Super Rod,Common
Magikarp,129,Route 21,Old Rod,Common
Pidgeotto,17,Route 21,Walking,Uncommon
Tentacruel,73,Route 21,Super Rod,Uncommon
Raticate,20,Route 21,Walking,Rare
Nidoran(Female),29,Route 22,Walking,Common
Nidoran(Male),32,Route 22,Walking,Common
Poliwag,60,Route 22,Super Rod,Common
Poliwag,60,Route 22,Good Rod,Common
Goldeen,118,Route 22,Good Rod,Common
Magikarp,129,Route 22,Old Rod,Common
Rattata,19,Route 22,Walking,Uncommon
Spearow,21,Route 22,Walking,Uncommon
Mankey,56,Route 22,Walking,Uncommon
Poliwhirl,61,Route 22,Super Rod,Uncommon
Nidorina,30,Route 23,Walking,Common
Nidorino,33,Route 23,Walking,Common
Poliwag,60,Route 23,Super Rod,Common
Poliwag,60,Route 23,Good Rod,Common
Poliwhirl,61,Route 23,Super Rod,Common
Goldeen,118,Route 23,Good Rod,Common
Magikarp,129,Route 23,Old Rod,Common
Fearow,22,Route 23,Walking,Uncommon
Mankey,56,Route 23,Walking,Uncommon
Primeape,57,Route 23,Walking,Rare
Pidgey,16,Route 24,Walking,Common
Oddish,43,Route 24,Walking,Common
Poliwag,60,Route 24,Good Rod,Common
Bellsprout,69,Route 24,Walking,Common
Goldeen,118,Route 24,Super Rod,Common
Goldeen,118,Route 24,Good Rod,Common
Seaking,119,Route 24,Super Rod,Common
Magikarp,129,Route 24,Old Rod,Common
Venonat,48,Route 24,Walking,Uncommon
Pidgeotto,17,Route 24,Walking,Rare
Charmander,4,Route 24,Gift,NA
Pidgey,16,Route 25,Walking,Common
Oddish,43,Route 25,Walking,Common
Poliwag,60,Route 25,Good Rod,Common
Bellsprout,69,Route 25,Walking,Common
Krabby,98,Route 25,Super Rod,Common
Kingler,99,Route 25,Super Rod,Common
Goldeen,118,Route 25,Good Rod,Common
Magikarp,129,Route 25,Old Rod,Common
Venonat,48,Route 25,Walking,Uncommon
Pidgeotto,17,Route 25,Walking,Rare
Pidgey,16,Route 3,Walking,Common
Spearow,21,Route 3,Walking,Common
Rattata,19,Route 3,Walking,Uncommon
Sandshrew,27,Route 3,Walking,Uncommon
Mankey,56,Route 3,Walking,Uncommon
Spearow,21,Route 4,Walking,Common
Rattata,19,Route 4,Walking,Uncommon
Sandshrew,27,Route 4,Walking,Uncommon
Mankey,56,Route 4,Walking,Uncommon
Magikarp,129,Route 4,Gift,NA
Pidgey,16,Route 5,Walking,Common
Rattata,19,Route 5,Walking,Common
Jigglypuff,39,Route 5,Walking,Uncommon
Abra,63,Route 5,Walking,Uncommon
Pidgeotto,17,Route 5,Walking,Rare
Machoke,67,Route 5,Trade,NA
Pidgey,16,Route 6,Walking,Common
Psyduck,54,Route 6,Surfing,Common
Poliwag,60,Route 6,Good Rod,Common
Goldeen,118,Route 6,Super Rod,Common
Goldeen,118,Route 6,Good Rod,Common
Magikarp,129,Route 6,Old Rod,Common
Jigglypuff,39,Route 6,Walking,Uncommon
Abra,63,Route 6,Walking,Uncommon
Pidgeotto,17,Route 6,Walking,Rare
Golduck,55,Route 6,Surfing,Rare
Pidgey,16,Route 7,Walking,Common
Abra,63,Route 7,Walking,Common
Pidgeotto,17,Route 7,Walking,Uncommon
Rattata,19,Route 7,Walking,Uncommon
Jigglypuff,39,Route 7,Walking,Uncommon
Pidgeotto,17,Route 8,Walking,Uncommon
Rattata,19,Route 8,Walking,Uncommon
Jigglypuff,39,Route 8,Walking,Uncommon
Abra,63,Route 8,Walking,Uncommon
Kadabra,64,Route 8,Walking,Rare
Nidoran(Female),29,Route 9,Walking,Common
Nidoran(Male),32,Route 9,Walking,Common
Rattata,19,Route 9,Walking,Uncommon
Spearow,21,Route 9,Walking,Uncommon
Raticate,20,Route 9,Walking,Rare
Fearow,22,Route 9,Walking,Rare
Nidorina,30,Route 9,Walking,Rare
Nidorino,33,Route 9,Walking,Rare
Nidoran(Male),32,Safari Zone#Center,Walking,Common
Poliwag,60,Safari Zone#Center,Good Rod,Common
Goldeen,118,Safari Zone#Center,Good Rod,Common
Magikarp,129,Safari Zone#Center,Super Rod,Common
Magikarp,129,Safari Zone#Center,Old Rod,Common
Dratini,147,Safari Zone#Center,Super Rod,Common
Nidoran(Female),29,Safari Zone#Center,Walking,Uncommon
Nidorino,33,Safari Zone#Center,Walking,Uncommon
Parasect,47,Safari Zone#Center,Walking,Uncommon
Exeggcute,102,Safari Zone#Center,Walking,Uncommon
Rhyhorn,111,Safari Zone#Center,Walking,Uncommon
Dragonair,148,Safari Zone#Center,Super Rod,Uncommon
Paras,46,Safari Zone#Center,Walking,Rare
Chansey,113,Safari Zone#Center,Walking,Rare
Tangela,114,Safari Zone#Center,Walking,Rare
Nidoran(Female),29,Safari Zone#East,Walking,Common
Poliwag,60,Safari Zone#East,Good Rod,Common
Exeggcute,102,Safari Zone#East,Walking,Common
Goldeen,118,Safari Zone#East,Good Rod,Common
Magikarp,129,Safari Zone#East,Super Rod,Common
Magikarp,129,Safari Zone#East,Old Rod,Common
Nidorina,30,Safari Zone#East,Walking,Uncommon
Nidoran(Male),32,Safari Zone#East,Walking,Uncommon
Cubone,104,Safari Zone#East,Walking,Uncommon
Tauros,128,Safari Zone#East,Walking,Uncommon
Dratini,147,Safari Zone#East,Super Rod,Uncommon
Marowak,105,Safari Zone#East,Walking,Rare
Chansey,113,Safari Zone#East,Walking,Rare
Scyther,123,Safari Zone#East,Walking,Rare
Nidoran(Male),32,Safari Zone#North,Walking,Common
Poliwag,60,Safari Zone#North,Good Rod,Common
Goldeen,118,Safari Zone#North,Good Rod,Common
Magikarp,129,Safari Zone#North,Super Rod,Common
Magikarp,129,Safari Zone#North,Old Rod,Common
Dratini,147,Safari Zone#North,Super Rod,Common
Nidoran(Female),29,Safari Zone#North,Walking,Uncommon
Nidorina,30,Safari Zone#North,Walking,Uncommon
Exeggcute,102,Safari Zone#North,Walking,Uncommon
Rhyhorn,111,Safari Zone#North,Walking,Uncommon
Kangaskhan,115,Safari Zone#North,Walking,Uncommon
Cubone,104,Safari Zone#North,Walking,Rare
Scyther,123,Safari Zone#North,Walking,Rare
Pinsir,127,Safari Zone#North,Walking,Rare
Nidoran(Male),32,Safari Zone#West,Walking,Common
Poliwag,60,Safari Zone#West,Good Rod,Common
Exeggcute,102,Safari Zone#West,Walking,Common
Goldeen,118,Safari Zone#West,Good Rod,Common
Magikarp,129,Safari Zone#West,Super Rod,Common
Magikarp,129,Safari Zone#West,Old Rod,Common
Dratini,147,Safari Zone#West,Super Rod,Common
Nidoran(Female),29,Safari Zone#West,Walking,Uncommon
Nidorino,33,Safari Zone#West,Walking,Uncommon
Cubone,104,Safari Zone#West,Walking,Uncommon
Tauros,128,Safari Zone#West,Walking,Uncommon
Marowak,105,Safari Zone#West,Walking,Rare
Tangela,114,Safari Zone#West,Walking,Rare
Pinsir,127,Safari Zone#West,Walking,Rare
Machoke,67,Saffron City,Trade,NA
Hitmonlee,106,Saffron City,Gift,NA
Hitmonchan,107,Saffron City,Gift,NA
Zubat,41,Seafoam Islands#1F,Walking,Common
Krabby,98,Seafoam Islands#1F,Walking,Common
Slowpoke,79,Seafoam Islands#1F,Walking,Uncommon
Golbat,42,Seafoam Islands#1F,Walking,Rare
Zubat,41,Seafoam Islands#B1F,Walking,Common
Krabby,98,Seafoam Islands#B1F,Walking,Common
Golbat,42,Seafoam Islands#B1F,Walking,Uncommon
Slowpoke,79,Seafoam Islands#B1F,Walking,Uncommon
Seel,86,Seafoam Islands#B1F,Walking,Rare
Kingler,99,Seafoam Islands#B1F,Walking,Rare
Zubat,41,Seafoam Islands#B2F,Walking,Common
Golbat,42,Seafoam Islands#B2F,Walking,Uncommon
Seel,86,Seafoam Islands#B2F,Walking,Uncommon
Krabby,98,Seafoam Islands#B2F,Walking,Uncommon
Kingler,99,Seafoam Islands#B2F,Walking,Uncommon
Slowpoke,79,Seafoam Islands#B2F,Walking,Rare
Slowbro,80,Seafoam Islands#B2F,Walking,Rare
Zubat,41,Seafoam Islands#B3F,Walking,Common
Golbat,42,Seafoam Islands#B3F,Walking,Common
Poliwag,60,Seafoam Islands#B3F,Good Rod,Common
Tentacool,72,Seafoam Islands#B3F,Surfing,Common
Krabby,98,Seafoam Islands#B3F,Super Rod,Common
Goldeen,118,Seafoam Islands#B3F,Good Rod,Common
Staryu,120,Seafoam Islands#B3F,Surfing,Common
Staryu,120,Seafoam Islands#B3F,Super Rod,Common
Magikarp,129,Seafoam Islands#B3F,Old Rod,Common
Seel,86,Seafoam Islands#B3F,Walking,Uncommon
Krabby,98,Seafoam Islands#B3F,Walking,Uncommon
Kingler,99,Seafoam Islands#B3F,Walking,Uncommon
Kingler,99,Seafoam Islands#B3F,Super Rod,Uncommon
Dewgong,87,Seafoam Islands#B3F,Walking,Rare
Golbat,42,Seafoam Islands#B4F,Walking,Common
Poliwag,60,Seafoam Islands#B4F,Good Rod,Common
Tentacool,72,Seafoam Islands#B4F,Surfing,Common
Krabby,98,Seafoam Islands#B4F,Super Rod,Common
Goldeen,118,Seafoam Islands#B4F,Good Rod,Common
Staryu,120,Seafoam Islands#B4F,Surfing,Common
Staryu,120,Seafoam Islands#B4F,Super Rod,Common
Magikarp,129,Seafoam Islands#B4F,Old Rod,Common
Zubat,41,Seafoam Islands#B4F,Walking,Uncommon
Seel,86,Seafoam Islands#B4F,Walking,Uncommon
Krabby,98,Seafoam Islands#B4F,Walking,Uncommon
Dewgong,87,Seafoam Islands#B4F,Walking,Rare
Kingler,99,Seafoam Islands#B4F,Walking,Rare
Articuno,144,Seafoam Islands#B4F,Interact,NA
Lapras,131,Silph Co,Gift,NA
Poliwag,60,Vermilion City#City,Good Rod,Common
Tentacool,72,Vermilion City#City,Super Rod,Common
Goldeen,118,Vermilion City#City,Good Rod,Common
Magikarp,129,Vermilion City#City,Old Rod,Common
Shellder,90,Vermilion City#City,Super Rod,Uncommon
Horsea,116,Vermilion City#City,Super Rod,Uncommon
Squirtle,7,Vermilion City#City,Gift,NA
Poliwag,60,Vermilion City#Harbor,Good Rod,Common
Tentacool,72,Vermilion City#Harbor,Super Rod,Common
Goldeen,118,Vermilion City#Harbor,Good Rod,Common
Magikarp,129,Vermilion City#Harbor,Old Rod,Common
Staryu,120,Vermilion City#Harbor,Super Rod,Uncommon
Geodude,74,Victory Road#1F,Walking,Common
Zubat,41,Victory Road#1F,Walking,Uncommon
Onix,95,Victory Road#1F,Walking,Uncommon
Graveler,75,Victory Road#1F,Walking,Rare
Geodude,74,Victory Road#2F,Walking,Common
Zubat,41,Victory Road#2F,Walking,Uncommon
Golbat,42,Victory Road#2F,Walking,Uncommon
Graveler,75,Victory Road#2F,Walking,Uncommon
Onix,95,Victory Road#2F,Walking,Uncommon
Machoke,67,Victory Road#2F,Walking,Rare
Moltres,146,Victory Road#2F,Interact,NA
Geodude,74,Victory Road#3F,Walking,Common
Golbat,42,Victory Road#3F,Walking,Uncommon
Machoke,67,Victory Road#3F,Walking,Uncommon
Graveler,75,Victory Road#3F,Walking,Uncommon
Onix,95,Victory Road#3F,Walking,Uncommon
Poliwag,60,Viridian City,Super Rod,Common
Poliwag,60,Viridian City,Good Rod,Common
Goldeen,118,Viridian City,Good Rod,Common
Magikarp,129,Viridian City,Old Rod,Common
Caterpie,10,Viridian Forest,Walking,Common
Metapod,11,Viridian Forest,Walking,Uncommon
Pidgey,16,Viridian Forest,Walking,Uncommon
Pidgeotto,17,Viridian Forest,Walking,Rare
Ivysaur,2,,,
Venusaur,3,,,
Charmeleon,5,,,
Charizard,6,,,
Wartortle,8,,,
Blastoise,9,,,
Butterfree,12,,,
Weedle,13,,,
Kakuna,14,,,
Beedrill,15,,,
Pidgeot,18,,,
Ekans,23,,,
Arbok,24,,,
Raichu,26,,,
Nidoqueen,31,,,
Nidoking,34,,,
Clefable,36,,,
Ninetales,38,,,
Vileplume,45,,,
Meowth,52,,,
Persian,53,,,
Arcanine,59,,,
Poliwrath,62,,,
Alakazam,65,,,
Machamp,68,,,
Victreebel,71,,,
Golem,76,,,
Rapidash,78,,,
Cloyster,91,,,
Gengar,94,,,
Hypno,97,,,
Electrode,101,,,
Exeggutor,103,,,
Koffing,109,,,
Weezing,110,,,
Starmie,121,,,
Jynx,124,,,
Electabuzz,125,,,
Magmar,126,,,
Vaporeon,134,,,
Jolteon,135,,,
Flareon,136,,,
Omastar,139,,,
Kabutops,141,,,
Dragonite,149,,,
Mew,151,,,
